Title ID,Title Type,Title Name,Year of first publication,Series
T186,novel,4.50 From Paddington (What Mrs. McGillicuddy Saw!),1957,Miss Marple
T100,novel,A Caribbean Mystery,1964,Miss Marple
T223,novel,A Daughter's a Daughter (novel),1952,Mary Westmacott
T189,novel,A Murder is Announced,1950,Miss Marple
T213,novel,A Pocket Full of Rye,1953,Miss Marple
T224,novel,Absent in the Spring,1944,Mary Westmacott
T09,novel,After the Funeral (Funerals are Fatal),1953,Hercule Poirot
T129,novel,And Then There Were None,1939,Not part of a series
T131,novel,Appointment with Death,1938,Hercule Poirot
T128,novel,At Bertram's Hotel,1965,Miss Marple
T127,play,Black Coffee (play),1930,Hercule Poirot
T217,novel,By the Pricking of My Thumbs,1968,Tommy & Tuppence
T135,novel,Cards on the Table,1936,Hercule Poirot & Ariadne Oliver
T229,novel,Cat Among the Pigeons,1959,Hercule Poirot
T177,novel,Crooked House,1949,Not part of a series
T178,novel,Curtain: Poirot's Last Case,1976,Hercule Poirot
T230,novel,Dead Man's Folly,1956,Hercule Poirot & Ariadne Oliver
T198,novel,Death Comes as the End,1944,Not part of a series
T132,novel,Death in the Clouds (Death in the Air),1935,Hercule Poirot
T137,novel,Death on the Nile (novel),1937,Hercule Poirot
T214,novel,Destination Unknown (So Many Steps to Death),1954,Not part of a series
T136,novel,Dumb Witness (Poirot Loses a Client),1937,Hercule Poirot
T231,novel,Elephants Can Remember,1972,Hercule Poirot
T216,novel,Endless Night,1967,Not part of a series
T142,novel,Evil Under the Sun,1941,Hercule Poirot
T143,novel,Five Little Pigs (Murder in Retrospect),1942,Hercule Poirot
T70,novel,Giant's Bread,1930,Mary Westmacott
T232,novel,Hallowe'en Party,1969,Hercule Poirot & Ariadne Oliver
T235,novel,Hercule Poirot and the Greenshore Folly,2014,Hercule Poirot & Ariadne Oliver
T138,novel,"Hercule Poirot's Christmas (Murder for Christmas, A Holiday for Murder)",1938,Hercule Poirot
T215,novel,Hickory Dickory Dock (Hickory Dickory Death),1955,Hercule Poirot
T73,novel,Lord Edgware Dies,1933,Hercule Poirot
T212,novel,Mrs. McGinty's Dead (Blood Will Tell),1952,Hercule Poirot & Ariadne Oliver
T134,novel,Murder in Mesopotamia,1936,Hercule Poirot
T08,novel,Murder is Easy (Easy to Kill),1939,Not part of a series
T87,novel,Murder on the Orient Express,1934,Hercule Poirot
T31,novel,N or M?,1941,Tommy & Tuppence
T107,novel,Nemesis,1971,Miss Marple
T140,novel,"One, Two, Buckle My Shoe (The Patriotic Murders, An Overdose of Death)",1940,Hercule Poirot
T179,novel,Ordeal by Innocence,1958,Not part of a series
T236,novel,Passenger to Frankfurt,1970,Not part of a series
T72,novel,Peril at End House,1932,Hercule Poirot
T123,novel,Postern of Fate,1973,Tommy & Tuppence
T141,novel,Sad Cypress,1940,Hercule Poirot
T120,novel,Sleeping Murder,1976,Miss Marple
T01,novel,Sparkling Cyanide (Remembered Death),1945,Not part of a series
T145,novel,Taken at the Flood (There is a Tide...),1948,Hercule Poirot
T133,novel,The ABC Murders,1936,Hercule Poirot
T04,novel,The Big Four,1927,Hercule Poirot
T196,novel,The Body in the Library,1942,Miss Marple
T228,novel,The Burden,1956,Mary Westmacott
T110,novel,The Clocks,1963,Hercule Poirot
T144,novel,The Hollow (Murder After Hours),1946,Hercule Poirot
T174,novel,The Incredible Theft,1937,Hercule Poirot
T15,novel,The Man in the Brown Suit,1924,Not part of a series
T188,novel,The Mirror Crackâ€™d from Side to Side (The Mirror Crack'd),1962,Miss Marple
T197,novel,The Moving Finger,1942,Miss Marple
T69,novel,The Murder at the Vicarage,1930,Miss Marple
T51,novel,The Murder of Roger Ackroyd,1926,Hercule Poirot
T14,novel,The Murder on the Links,1923,Hercule Poirot
T02,novel,The Mysterious Affair at Styles,1920,Hercule Poirot
T36,novel,The Mystery of the Blue Train,1928,Hercule Poirot
T03,novel,The Pale Horse,1961,Ariadne Oliver
T226,novel,The Rose and the Yew Tree,1948,Mary Westmacott
T07,novel,The Secret Adversary,1922,Tommy & Tuppence
T50,novel,The Secret of Chimneys,1925,Not part of a series
T52,novel,The Seven Dials Mystery,1929,Not part of a series
T71,novel,The Sittaford Mystery,1931,Not part of a series
T208,novel,They Came to Baghdad,1951,Not part of a series
T185,novel,They Do It With Mirrors (Murder with Mirrors),1952,Miss Marple
T111,novel,Third Girl,1966,Hercule Poirot & Ariadne Oliver
T10,novel,Three Act Tragedy (Murder in Three Acts),1934,Hercule Poirot
T139,novel,Towards Zero,1944,Not part of a series
T225,novel,Unfinished Portrait,1934,Mary Westmacott
T190,novel,Why Didn't They Ask Evans? (The Boomerang Clue),1934,Not part of a series
